"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","西神延伸線","Seishin-enshin Line",,,,
"02","西神線","Seishin Line",,,,
"03","山手線","Yamate Line",,,,
"04","海岸線","Kaigan Line",,,,
"05","北神線","Hokushin Line",,,,
