"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","尼崎","Amagasaki","0","","","ja34802",""
"02","塚口","Tsukaguchi","2.5","","","ja37315",""
"03","猪名寺","Inadera","3.9","","","ja47932",""
"04","伊丹","Itami","5.8","","","ja37235",""
"05","北伊丹","Kita-Itami","7.9","","","ja37313",""
"06","川西池田","Kawanishi-Ikeda","11","","","ja36620",""
"07","中山寺","Nakayamadera","14.5","","","ja47916",""
"08","宝塚","Takarazuka","17.8","","","ja20254",""
"09","生瀬","Namaze","19.7","","","ja57399",""
"0a","西宮名塩","Nishinomiyanajio","21.9","","","ja57400",""
"0b","武田尾","Takedao","25.1","","","ja57421",""
"0c","道場","Dojo","30.1","","","ja57411",""
"0d","三田","Sanda","33.7","","","ja14586",""
"0e","新三田","Shin-Sanda","36.9","","","ja59652",""
"0f","広野","Hirono","39.7","","","ja59665",""
"0g","相野","Aino","44","","","ja59654",""
"0h","藍本","Aimoto","48.2","","","ja59655",""
"0i","草野","Kusano","50.2","","","ja54086",""
"0j","古市","Furuichi","53.5","","","ja24242",""
"0k","南矢代","Minami-Yashiro","56.1","","","ja59840",""
"0l","篠山口","Sasayamaguchi","58.4","","","ja59842",""
"0m","丹波大山","Tamba-Oyama","60.7","","","ja59843",""
"0n","下滝","Shimotaki","68.7","","","ja59844",""
"0o","谷川","Tanikawa","73","","","ja71643",""
"0p","柏原","Kaibara","80","","","ja59666",""
"0q","石生","Iso","83.2","","","ja252490",""
"0r","黒井","Kuroi","87.5","","","ja59667",""
"0s","市島","Ichijima","94","","","ja76943",""
"0t","丹波竹田","Tamba-Takeda","98.2","","","ja76944",""
"0u","福知山","Fukuchiyama","106.5","","","ja25785",""
