"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","天王寺","Tennoji","0","","","ja4124",""
"02","寺田町","Teradacho","1","","","ja48366",""
"03","桃谷","Momodani","2.2","","","ja48372",""
"04","鶴橋","Tsuruhashi","3","","","ja43856",""
"05","玉造","Tamatsukuri","3.9","","","ja48383",""
"06","森ノ宮","Morinomiya","4.8","","","ja48390",""
"07","大阪城公園","Osakajo-koen","5.7","","","ja5869",""
"08","京橋","Kyobashi","6.5","","","ja14585",""
"09","桜ノ宮","Sakuranomiya","8.3","","","ja48305",""
"0a","天満","Temma","9.1","","","ja48295",""
"0b","大阪","Osaka","10.7","","","ja2615434",""
"0c","福島","Fukushima","11.7","","","ja3961",""
"0d","野田","Noda","13.1","","","ja36761",""
"0e","西九条","Nishikujo","14.3","","","ja19901",""
"0f","弁天町","Bentencho","15.9","","","ja48350",""
"0g","大正","Taisho","17.7","","","ja23958",""
"0h","芦原橋","Ashiharabashi","18.9","","","ja48354",""
"0i","今宮","Imamiya","19.5","","","ja48399",""
"0j","新今宮","Shin-Imamiya","20.7","","","ja34848",""
