"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","姫路","Himeji","0","","","ja22785",""
"02","京口","Kyoguchi","1.7","","","ja23347",""
"03","野里","Nozato","4.3","","","ja23348",""
"04","砥堀","Tohori","6","","","ja23349",""
"05","仁豊野","Nibuno","8.2","","","ja23350",""
"06","香呂","Koro","11.2","","","ja23351",""
"07","溝口","Mizoguchi","13.2","","","ja23352",""
"08","福崎","Fukusaki","17.1","","","ja23353",""
"09","甘地","Amaji","20.6","","","ja23354",""
"0a","鶴居","Tsurui","24.5","","","ja23355",""
"0b","新野","Niino","27.7","","","ja23490",""
"0c","寺前","Teramae","29.6","","","ja23358",""
"0d","長谷","Hase","35.9","","","ja23489",""
"0e","生野","Ikuno1","43.6","","","ja23488",""
"0f","新井","Nii","51.9","","","ja23487",""
"0g","青倉","Aokura","55.6","","","ja23365",""
"0h","竹田","Takeda","59.9","","","ja64200",""
"0i","和田山","Wadayama","65.7","","","ja23367",""
