"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","西武新宿","Seibu-Shinjuku","0.0",,,,
"02","高田馬場","Takadanobaba","2.0",,,,
"03","下落合","Shimo-Ochiai","3.2",,,,
"04","中井","Nakai","3.9",,,,
"05","新井薬師前","Araiyakushi-mae","5.2",,,,
"06","沼袋","Numabukuro","6.1",,,,
"07","野方","Nogata","7.1",,,,
"08","都立家政","Toritsu-Kasei","8",,,,
"09","鷺ノ宮","Saginomiya","8.5",,,,
"0a","下井草","Shimo-Igusa","9.8",,,,
"0b","井荻","Iogi","10.7",,,,
"0c","上井草","Kami-Igusa","11.7",,,,
"0d","上石神井","Kami-Shakujii","12.8",,,,
"0e","武蔵関","Musashi-Seki","14.1",,,,
"0f","東伏見","Higashi-Fushimi","15.3",,,,
"0g","西武柳沢","Seibu-Yagisawa","16.3",,,,
"0h","田無","Tanashi","17.6",,,,
"0i","花小金井","Hana-Koganei","19.9",,,,
"0j","小平","Kodaira","22.6",,,,
"0k","久米川","Kumegawa","24.6",,,,
"0l","東村山","Higashi-Murayama","26",,,,
"0m","所沢","Tokorozawa","28.9",,,,
"0n","航空公園","Koku-koen","30.5",,,,
"0o","新所沢","Shin-Tokorozawa","31.7",,,,
"0p","入曽","Iriso","35.6",,,,
"0q","狭山市","Sayamashi","38.6",,,,
"0r","新狭山","Shin-Sayama","41.3",,,,
"0s","南大塚","Minami-Otsuka","43.9",,,,
"0t","本川越","Hon-Kawagoe","47.5",,,,
