"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","大雄山線","Daiyūzan Line",,,,
"02","駿豆線","Sunzu Line",,,,
"03","十国鋼索線","Jukkokutōge Cable Car",,,,
