"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","盛岡","Morioka",,,,,
"02","大釜","Okama",,,,,
"03","小岩井","Koiwai",,,,,
"04","雫石","Shizukuishi",,,,,
"05","春木場","Harukiba",,,,,
"06","赤渕","Akabuchi",,,,,
"07","田沢湖","Tazawako",,,,,
"08","刺巻","Sashimaki",,,,,
"09","神代","Jindai",,,,,
"0a","生田","Shoden",,,,,
"0b","角館","Kakunodate",,,,,
"0c","鶯野","Uguisuno",,,,,
"0d","羽後長野","Ugo-Nagano",,,,,
"0e","鑓見内","Yariminai",,,,,
"0f","羽後四ツ屋","Ugo-Yotsuya",,,,,
"0g","北大曲","Kita-Omagari",,,,,
"0h","大曲","Omagari",,,,,
