"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","杭州东","Hangzhou East",,,,,
"02","杭州南","Hangzhou South",,,,,
"03","绍兴北","Shaoxing North",,,,,
"04","绍兴东","Shaoxing East",,,,,
"05","余姚北","Yuyao North",,,,,
"06","庄桥","Zhuangqiao",,,,,
"07","宁波","Ningbo",,,,,
"08","宁波东","Ningbo East",,,,,
"09","云龙","Yunlong",,,,,
"0a","奉化","Fenghua",,,,,
"0b","宁海","Ninghai",,,,,
"0c","三门县","Sanmenxian",,,,,
"0d","临海","Linhai",,,,,
"0e","台州","Taizhou",,,,,
"0f","台州南","Taizhou South",,,,,
"0g","温岭","Wenling",,,,,
"0h","雁荡山","Yandangshan",,,,,
"0i","绅坊","Shenfang",,,,,
"0j","乐清","Yueqing",,,,,
"0k","永嘉","Yongjia",,,,,
"0l","温州南","Wenzhou South",,,,,
"0m","瑞安","Rui'an",,,,,
"0n","平阳","Pingyang",,,,,
"0o","苍南","Cangnan",,,,,
"0p","福鼎","Fuding",,,,,
"0q","太姥山","Taimushan",,,,,
"0r","霞浦","Xiapu",,,,,
"0s","福安","Fu'an",,,,,
"0t","宁德","Ningde",,,,,
"0u","罗源","Luoyuan",,,,,
"0v","透堡","Toubao",,,,,
"0w","连江","Lianjiang",,,,,
"0x","福州南","Fuzhou South",,,,,
"0y","福清","Fuqing",,,,,
"0z","渔溪","Yuxi",,,,,
"10","涵江","Hanjiang",,,,,
"11","莆田","Putian",,,,,
"12","仙游","Xianyou",,,,,
"13","惠安","Hui'an",,,,,
"14","泉州","Quanzhou",,,,,
"15","晋江","Jinjiang",,,,,
"16","翔安","Xiang'an",,,,,
"17","厦门北","Xiamen North",,,,,
"18","前场","Qianchang",,,,,
"19","角美","Jiaomei",,,,,
"1a","漳州","Zhangzhou",,,,,
"1b","漳浦","Zhangpu",,,,,
"1c","云霄","Yunxiao",,,,,
"1d","诏安","Zhao'an",,,,,
"1e","饶平","Raoping",,,,,
"1f","韩江桥所","Hanjiangqiaosuo",,,,,
"1g","潮汕","Chaoshan",,,,,
"1h","潮阳","Chaoyang",,,,,
"1i","普宁","Puning",,,,,
"1j","葵潭","Kuitan",,,,,
"1k","陆丰","Lufeng",,,,,
"1l","汕尾","Shanwei",,,,,
"1m","鲘门","Houmen",,,,,
"1n","惠东","Huidong",,,,,
"1o","惠州南","Huizhou South",,,,,
"1p","深圳坪山","Shenzhen Pingshan",,,,,
"1q","深圳北","Shenzhen North",,,,,
