"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","南小谷","Minami-Otari","0","","","ja39899",""
"02","中土","Nakatsuchi","4","","","ja76866",""
"03","北小谷","Kita-Otari","8.4","","","ja76872",""
"04","平岩","Hiraiwa","14.9","","","ja76876",""
"05","小滝","Kotaki","21.7","","","ja76879",""
"06","根知","Nechi","25.3","","","ja76882",""
"07","頸城大野","Kubiki-Ono","30.2","","","ja76883",""
"08","姫川","Himekawa","32.1","","","ja77004",""
"09","糸魚川","Itoigawa","35.3","","","ja73152",""
