"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","小山","Oyama","0","","","ja37034",""
"02","思川","Omoigawa","5.4","","","ja72924",""
"03","栃木","Tochigi","10.8","","","ja69337",""
"04","大平下","Ohirashita","15.2","","","ja72923",""
"05","岩舟","Iwafune","19.3","","","ja72922",""
"06","佐野","Sano","26.6","","","ja63951",""
"07","富田","Tomita","31.1","","","ja37543",""
"08","あしかがフラワーパーク","Ashikaga Flower Park","32","","","ja3597295",""
"09","足利","Ashikaga","38.2","","","ja72920",""
"0a","山前","Yamamae","42.7","","","ja72918",""
"0b","小俣","Omata","47.3","","","ja28664",""
"0c","桐生","Kiryu","52.9","","","ja67411",""
"0d","岩宿","Iwajuku","56.9","","","ja72916",""
"0e","国定","Kunisada","63.3","","","ja72915",""
"0f","伊勢崎","Isesaki","69.1","","","ja2073996",""
"0g","駒形","Komagata","74.9","","","ja72913",""
"0h","前橋大島","Maebashi-Oshima","78.1","","","ja72912",""
"0i","前橋","Maebashi","81.9","","","ja67412",""
"0j","新前橋","Shin-Maebashi","84.4","","","ja67414",""
