"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01",水道町,Suidocho,0
"02",九品寺交差点,Kuhonjikosaten,0.5
"03",交通局前,Kotsukyoku-mae,0.8
"04",味噌天神前,Misotenjin-mae,1.3
"05",新水前寺駅前,Shin-suizenji,1.7
"06",国府,Kokubu,2
"07",水前寺公園,Suizenji Park,2.4
