"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","Frontière (France)","Border (France)","0","","","",""
"02","Monaco-Monte-Carlo","Monaco-Monte-Carlo","0","","","fr241830",""
"03","Frontière (France)","Border (France)","0","","","",""
