"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01",高見馬場,Takamibaba,0
"02",加治屋町,Kajiya-chō,0.3
"03",高見橋,Takamibashi,0.7
"04",鹿児島中央駅前,Kagoshima-Chūō-ekimae,1
