"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","橘線","Orange Line",,,,"zh84896","UklGRgwHAABXRUJQVlA4WAoAAAAQAAAAYwAAYwAAQUxQSKQCAAABkKxt2xlJ39hqu3ts2ydg2+YxtK2xuWyuh6u27VTbXWpOqmbyDQrJ/3//PiImAJh13XElOjO3QjLIskGqyM2IvrLDFUj1Ov5Sh6p2pdwIJGJ5VANqWh+xjDu3B4XIYP59N54CHo4goz9f+vMy/+EYMmz5tJSHGdFWZNz6cDZz+9uRw64L45ia/wM5/RbI0EEDcms6zsqkaAU5Vh5OZsK7EDnP82RgfgNyr1us2epOJLBnvUZ7zUiiebcma4xIpHmDBgu7kcy+Jap5NCChkpdKUwqR1LzJ6jxCYhNU2adQoxxSIUCP5BrmOzXuBxL81amzSPJJJ2Z30tQ9x7FHSHSiQ4t/UWVd6MhbJPuVA/4yXZZAe0+Q8Id23EcpG3W19QBJv2urkLY8G8uR+KX/RVEX+l8DdTUA4Ivk+wJcoO8swHv63gC00qcDNxSgy04RbLsigosxIojMFEF6rgiyKkVQ3iICnV4E/bIIfopBL4L+FhHoKkVQniuCrEwRpEeLIOKyCC7sEMFWFxG4QAt9OoD39L0GuEDfGQAf8hRvAKijrhoAIJK6kP+WULf0PyigLQds3qftti23UcpGXG3BI8qSwK6fTNdPX3vwmq7n4OBCK1WW+Y5AElVx4PCsDpq6ZjsGp2g6Bs5+o+gzOO0/QI8hyDnYp1CjHAQ1k6iJBVUn59GSPUkdcK+jpMkT1F7QRUfXfFB/tZEK83rQco+JBtMu0HZVBwXd60Dr+fX8SYtAe8883rLdgcWJwb95Uh5OBkb36/kxHQV2A7/y8tkfmN7fxkPnBWB9dqKVNUv8TOAw6OEYS/KnxcCpZ/QIKz9f+gHHrnfzWMi94wK8Lwmr0aY6ZDHQ6HH8paROV8oNfyDVZdulqPTsMkkvy3qpLCs98uK2ecAsVlA4IEIEAAAQFwCdASpkAGQAPpE+mEglo6IhLlaKqLASCWgIcAGK1KD9P/LnYb+y/k7zA/C3fjkiD2emXu1/J+6r6Y+gjzAP046RHmA/Zj1iPQf6AH9d/yPrMf7T2EvQP8tL9uvgq/cv0qskA/Su3TjArV5YGliZz3WZ8lhyRInxwZjB0kvCrwaqm+W4OmLnvj9eH+99FDEig8j08HW9Z8w5FmBHyKN8JW01RbbI3vS2rTgnfgf3aS35oIT952WfExolfdocisgAAP6U9o6aI9MxW90WKVAAdJwfbb2ZlTNbHcAkoci01jjn8zQmbzYNhASbsh8UUPspsQzrLmBV4khMYSqE4hJLQb8UiDmC8IfRB0XlE0fpcxg/s1eF8VQP0UScZmRVeo+jxfmnws0aJyyAA2CfIDDLFlWkWP/xNfAvau/erw/6DmU3EKJAMAHXk0UVTDthM7rhc7GzxMZCYIwIKZhcHu195zZRLpAv3xQ1mjcVhLV8T2Gz5FDn5lEsr7qFMPR3rkSm5z7LvahCgVgtrR89ExxPyRmkWm7OKDO9tS4LA2UvTy+dyrxz7QS3FUoFsF9hBdekomx/P//peCBh0LnGOQSDXv1o4Bf6sqJMn/w2/S3XrruMoNSbMB5Zo7/tDNZzM1Ctp5mRh9SHz3qLNIdf59zzurjd+uvMwzPQP36D55jibs24qnkb8pUDeJgkjs/EpbRLjQ8W33JVVuzapHvHWacSIVcuLa/d4nObc7zdcb7JgJhChIFGgXRcckl1kfC93D/vw8ZznQqO5nDGf0dMrgHTaL7nn0MDkrWv7xTDbigDW1DMXRVvV8AbIXdNud9rXyhjw9hToLiE04SIsh/+cr3DiULvj2vnB2/+lg4AlGj4PZp34Zs28YLGZ7pHoj4QkaqlcYMERu2qdkGPT+i3CZvrxZ+OdK6rc3ywvlO9P6pel9SIZbI4pz5NGtD8Pd8oHCDHFDEpCDLU80KDJKmBKto0H5ynBCjfnfYciAknrsdi5V6j/LMuLNaWYO4yndnnxla3RGv/Wdh6lqHu34rH+d6veXd1fy7PisbOnYhQ/EKm42F/34GD80bY7dE2ix0Y2zspZsnp11gVdrxckRREf8n5KH47A6M+mGWLj0ljWHTRQWuOPTmwKehrPpevkIAPhqRtPnbV2lyQ54jcF0kz/eMLeowELUsq88A28Nhkl3nq5jgnDrZHLlL1E6vN8/OYsM3BClZBYYjGE6Kj1j//+bf//Muf/+aHSNleMjwouZDtipQyFnHGXDAFfDdmUKuxieZZoOS3Dl9fFPUn5q9878F45lPLTAil7YKRym8tQhBRwUnLdRDGkuZiL+18uTtW2EjJdyBS2wtW7WS+4fIl4S0oMc//+l3KrwksJyr35DN5yRaNWnHC+p9FtTOv6KlTSQVYCkt93f/RX//9G7ZLT787qb9LzG1tXenXoXUJ79oaAAAA"
"02","紅線","Red Line",,,,"zh84713","UklGRqYFAABXRUJQVlA4WAoAAAAQAAAAYwAAYwAAQUxQSKQCAAABkKxt2xlJ39hqu3ts2ydg2+YxtK2xuWyuh6u27VTbXWpOqmbyDQrJ/3//PiImAJh13XElOjO3QjLIskGqyM2IvrLDFUj1Ov5Sh6p2pdwIJGJ5VANqWh+xjDu3B4XIYP59N54CHo4goz9f+vMy/+EYMmz5tJSHGdFWZNz6cDZz+9uRw64L45ia/wM5/RbI0EEDcms6zsqkaAU5Vh5OZsK7EDnP82RgfgNyr1us2epOJLBnvUZ7zUiiebcma4xIpHmDBgu7kcy+Jap5NCChkpdKUwqR1LzJ6jxCYhNU2adQoxxSIUCP5BrmOzXuBxL81amzSPJJJ2Z30tQ9x7FHSHSiQ4t/UWVd6MhbJPuVA/4yXZZAe0+Q8Id23EcpG3W19QBJv2urkLY8G8uR+KX/RVEX+l8DdTUA4Ivk+wJcoO8swHv63gC00qcDNxSgy04RbLsigosxIojMFEF6rgiyKkVQ3iICnV4E/bIIfopBL4L+FhHoKkVQniuCrEwRpEeLIOKyCC7sEMFWFxG4QAt9OoD39L0GuEDfGQAf8hRvAKijrhoAIJK6kP+WULf0PyigLQds3qftti23UcpGXG3BI8qSwK6fTNdPX3vwmq7n4OBCK1WW+Y5AElVx4PCsDpq6ZjsGp2g6Bs5+o+gzOO0/QI8hyDnYp1CjHAQ1k6iJBVUn59GSPUkdcK+jpMkT1F7QRUfXfFB/tZEK83rQco+JBtMu0HZVBwXd60Dr+fX8SYtAe8883rLdgcWJwb95Uh5OBkb36/kxHQV2A7/y8tkfmN7fxkPnBWB9dqKVNUv8TOAw6OEYS/KnxcCpZ/QIKz9f+gHHrnfzWMi94wK8Lwmr0aY6ZDHQ6HH8paROV8oNfyDVZdulqPTsMkkvy3qpLCs98uK2ecAsVlA4INwCAACwFQCdASpkAGQAPpFGnUslo6KhoVgLaLASCWQGKAEJmZn8R/G7YZOpfjT+TPVg7N9zfw3zHvgz/PfbvwAH6J/SNwgP2b/Sv3iOkA/l/+O9UT/R+wB6AHlGfsZ8CP7SftL8Bn61///Wp7gBsvvQoj7TfbuxPrDxo3q1ab4q6WoTyp2C0Ii4FXONuLNxAQCwYgJbC3oWSOyg7b1E4AntPLmS2Oy3/ildJ+o+wprXgCeu2zJSYtZaAAD++cX//jn//Gi//6PZwLX6GYKlRJ2k9pseHIteigUKXYd0azjwqlkokEKzt7yj3b+x6QYnCESETc4Ivz1qHv48KSRDqxcUSMZ7Xt+klW4/1rqWt14a26RuTjcBOS2gP7Hj3CrOR0V9SV9jK31HIN/x4MdRNzUQmgQjGg9E/5hZGUfC8kEcAGxFzFo/yZf0DQvUHSPve25QFdX0IvjuC4qVC24nmxdVk/P7wOJeeEcm7KbTYGYrmcT0TPpVBzZ6lstH4MtHer1UrhqPH7wMCJR2oVa567fjTyYYNhbGeE/214kk5jK7pcea044xU0/z+FlaUnbaHBUBXcuYwVavG8a6iJRNu1/8TNjwACHHgtsCTNoIYyCPh3btkv/8sVIwZraFZK3u6PeNpS0sy2M4cH8G+RE4vZB/8HjgBJruK6/z5y3gWMa0htdQKSlq4OgKaWZxe3lPF60ItrG5sc/k2pOkv2dZZ6qcHqXKQhZhS0bJ8QXZTtJLsFM2lu+KScP/NAflmpQ14lNWxg3eT+xCruJIjQIwN/3TZRxr4Soig1X8rMgZzWUb3//yVEPdt+vlQGW4t2/nL2nU7H/pO5khYHeWLKYi8WQHU9hEPksUYKPrkCfnxmbsHjO/m+6v4wQ/+hvnXeZ96qHBzB9sfsnjed+CA3XOzUuFuCn4K/r2iPg0PbJc6QqAcWB6z/E1WATF1Sb//korxCmpYqRq+t4aavKO/AAAAAA="
"03","環狀輕軌","Circular Light Rail",,,,"zh85809","UklGRuoFAABXRUJQVlA4WAoAAAAQAAAAYwAAYwAAQUxQSKQCAAABkKxt2xlJ39hqu3ts2ydg2+YxtK2xuWyuh6u27VTbXWpOqmbyDQrJ/3//PiImAJh13XElOjO3QjLIskGqyM2IvrLDFUj1Ov5Sh6p2pdwIJGJ5VANqWh+xjDu3B4XIYP59N54CHo4goz9f+vMy/+EYMmz5tJSHGdFWZNz6cDZz+9uRw64L45ia/wM5/RbI0EEDcms6zsqkaAU5Vh5OZsK7EDnP82RgfgNyr1us2epOJLBnvUZ7zUiiebcma4xIpHmDBgu7kcy+Jap5NCChkpdKUwqR1LzJ6jxCYhNU2adQoxxSIUCP5BrmOzXuBxL81amzSPJJJ2Z30tQ9x7FHSHSiQ4t/UWVd6MhbJPuVA/4yXZZAe0+Q8Id23EcpG3W19QBJv2urkLY8G8uR+KX/RVEX+l8DdTUA4Ivk+wJcoO8swHv63gC00qcDNxSgy04RbLsigosxIojMFEF6rgiyKkVQ3iICnV4E/bIIfopBL4L+FhHoKkVQniuCrEwRpEeLIOKyCC7sEMFWFxG4QAt9OoD39L0GuEDfGQAf8hRvAKijrhoAIJK6kP+WULf0PyigLQds3qftti23UcpGXG3BI8qSwK6fTNdPX3vwmq7n4OBCK1WW+Y5AElVx4PCsDpq6ZjsGp2g6Bs5+o+gzOO0/QI8hyDnYp1CjHAQ1k6iJBVUn59GSPUkdcK+jpMkT1F7QRUfXfFB/tZEK83rQco+JBtMu0HZVBwXd60Dr+fX8SYtAe8883rLdgcWJwb95Uh5OBkb36/kxHQV2A7/y8tkfmN7fxkPnBWB9dqKVNUv8TOAw6OEYS/KnxcCpZ/QIKz9f+gHHrnfzWMi94wK8Lwmr0aY6ZDHQ6HH8paROV8oNfyDVZdulqPTsMkkvy3qpLCs98uK2ecAsVlA4ICADAABQEgCdASpkAGQAPpFAmkklo6IhLRGqeLASCWQAzQmc/1GsP+W4/6hT+u8YYgSEb4pnSc8xHnO+kTzdOou9Cvy4vY//uH/byp3w7/IOx5ug8C6od8MQjcRYjdDpESXQI4AzsZfMBQ+kaMZNkK/gyU5plsCbME+87vxHuvsj5ztSTlpU/qohFKEh+JpPR+1l2cdJeYGRYC3rSvqgAAD++Gp//05v/6bK//6UpFWv59xgM+//5GWKoeJyLDANVZhFr9qM7nx5ucZyC3H3FDiPYw7r5+qCVjBnRn1BKtWAcZ+xY+A/DM8bkZsj6I4oPVpYkKBdqE2GRqduf6ubt7Hu+Y70D5MDkN/HSKDjgM0qdjtx4AsFdobt+IIdj2Cy+BvFYX6JcjK/HGzmwJuUYvEj2MXjdQdoGI2iZ7/i2X1Lq2Ekz4UVsDJ0B5NoNOnk5nw///Nt3QVhOWzTaVxkQqqKN1ArD89k//J+0dyRF6H/r6Yi22ybNLAa4UDBMHD9LkuPHc511ELonf+2eNKxDwJPD/AsRtdWVGSMxYj0P4yhOVc2c5KduCldiOtQIUhN4XQlTUnrPlJ3KNcE7wAQhU3s7U+eh7+B8ubbHk2JWGcx0rFpi/IhqTtmnLQH7wE1ga0HFIZygTTKQJBvdmr9RjWF91jp1dCh8G96hnOYSg0ry0MXBjQTbWKst5obnKvL+U5D1NpQLRinK7ZUdpEh+adtbq0p75GqQz/1r6N6TkvSaVRKI5zmO/VO9vJcWbt4uUs404bfOgBbxtzyojjpC5QU+J3ZtRTAghD+tPI4833WD14xCnGZWCPkqOKlynIkl0cIPv5bU6GGo38H2VSJH8J2+3yaN2WB/ckgzhj9sA8B0zap0q9dokq5LcKcLxcwrZKyN2rjH0oxiKZ7LAB6M4wxEWE939yLrK7ytsjlek6VGz0nhuVOWrhvWCF9w6LPnsYf0wx8uJSHIv3gyM1IbY9skfBs765LZ/EI5b+pfSFa2///zbTWlE8p8WxJdan8va+yXjliPJAzsSTFPNJ9NIeaQJCNfMX9hw5PTbdF0aZAwAAAAA=="
