"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","北上","Kitakami","0","","","ja38264",""
"02","柳原","Yanagihara","2.1","","","ja38393",""
"03","江釣子","Ezuriko","5.2","","","ja38392",""
"04","藤根","Fujine","8.4","","","ja38391",""
"05","立川目","Tatekawame","12.1","","","ja38390",""
"06","横川目","Yokokawame","14.3","","","ja38389",""
"07","岩沢","Iwasawa","18.1","","","ja38388",""
"08","和賀仙人","Waka-Sennin","20.3","","","ja38387",""
"09","ゆだ錦秋湖","Yudakinshuko","28.8","","","ja38386",""
"0a","ほっとゆだ","Hottoyuda","35.2","","","ja38385",""
"0b","ゆだ高原","Yudakogen","39.1","","","ja37797",""
"0c","黒沢","Kurosawa","44.3","","","ja37873",""
"0d","小松川","Komatsukawa","49.6","","","ja37795",""
"0e","平石","Hiraishi","51.6","","","ja37794",""
"0f","相野々","Ainono","53.4","","","ja37792",""
"0g","矢美津","Yabitsu","56.6","","","ja37791",""
"0h","横手","Yokote","61.1","","","ja37687",""
