宮の陣,Miyanojin,0
五郎丸,Gorōmaru,0.9
学校前,Gakkōmae,1.7
古賀茶屋,Koganchaya,3.9
北野,Kitano,5.4
大城,Ōki,8
金島,Kaneshima,9.4
大堰,Ōzeki,11.6
本郷,Hongō,13.1
上浦,Kamiura,14.9
馬田,Mada,16.1
甘木,Amagi,17.9
