"id","endonym","exonym","distance","longitude","latitude","wikipedia","image"
"01","茶屋町","Chayamachi",,,,,
"02","植松","Uematsu",,,,,
"03","木見","Kimi",,,,,
"04","上の町","Kaminocho",,,,,
"05","児島","Kojima",,,,,
