"id","endonym","exonym","distance","latitude","longitude","wikipedia","image"
"01","1号線東山線","Higashiyama Line",,,,
"02","2号線名城線・名港線","Meijo, Meiko Line",,,,
"03","4号線名城線","Meijo Line",,,,
"04","3号線鶴舞線","Tsurumai Line",,,,
"05","6号線桜通線","Sakura-dori Line",,,,
"06","上飯田線","Kamiiida Line",,,,
